"石墨烯
濃度(wt%)","奈米氧化鋁
濃度(wt%)",碳黑奈米濃度 (wt%),"電磁攪拌
時間(min)","超音波震盪
時間(min)","幫浦輸送
速度 (L/min)","沉浸液
總體積(L)","沉浸液於
散熱區體積(L)","冷卻
瓦數(W)","電池直徑
(mm)","電池高度
(mm)","加熱區軸向
熱傳導係數(W/mK)","加熱區縱向
熱傳導係數(W/mK)","加熱
瓦數(W)",環溫(℃),電阻(Ω),電池溫度
4.547261154,13.03281993,0,4,5,8.6,2.954372544,4.129678623,0.88634962,6.5,50,25,120,1,20.56416258,∞,52.16222922
14.00568823,7.387702951,0,5,8,4.15,8.655346024,1.427013781,1.550558771,6.5,50,25,120,1,28.74572569,∞,44.20529999
19.83452042,1.017205967,0,2,8,0.04,5.597923757,5.947323574,1.906939323,6.5,50,25,120,1,29.33078135,∞,61.24789881
15.6364324,1.250842247,0,8,2,4.95,2.439295373,1.856273795,0.214004056,6.5,50,25,120,1,22.04781467,∞,53.28275147
14.1801498,1.495547771,0,2,6,0.63,3.818442996,6.619819284,0.191747709,6.5,50,25,120,1,29.33184064,∞,60.11853739
8.503883091,14.24222534,0,4,4,8.53,6.568116464,3.667853879,1.549643008,6.5,50,25,120,1,23.73755122,∞,59.19157631
18.72975926,9.043717604,0,4,5,6.68,9.988087584,9.218122033,2.355992357,6.5,50,25,120,1,27.2893702,∞,22.36768274
0.971503245,14.05210487,0,3,2,3.5,8.029058299,0.52628253,2.000499507,6.5,50,25,120,1,26.38262016,∞,50.63702815
1.567620346,10.96183457,0,4,3,2.93,9.766676452,4.912103333,1.677642492,6.5,50,25,120,1,20.26883742,∞,11.11282354
8.557780823,11.76281862,0,8,0,1.01,5.645623003,9.216591501,2.033500006,6.5,50,25,120,1,28.73191108,∞,35.20264292
5.599694482,11.37302056,0,3,4,2.41,1.782308675,9.724549427,2.374038489,6.5,50,25,120,1,27.84500501,∞,46.77767242
18.02812967,7.327235399,0,9,9,9.95,8.826161568,3.012504003,0.710416144,6.5,50,25,120,1,22.77126619,∞,18.2276616
12.48481931,11.05061715,0,9,7,5.69,1.201735787,8.619960015,1.208107906,6.5,50,25,120,1,23.0690536,∞,44.67727763
